수집일시,소노사업장,사업장ID,경쟁사명,OTA,체크인,체크아웃,객실유형,객실카테고리,판매가(원),통화,판매상태,URL,오류,is_own,is_promo,별점(10점),리뷰수
2026-05-23 19:00:05,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-24,2026-05-25,소노캄B,,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-24&checkOutDate=2026-05-25,,True,False,4.7,736
2026-05-23 19:00:05,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-24,2026-05-25,소노캄A,,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-24&checkOutDate=2026-05-25,,True,False,4.7,736
2026-05-23 19:00:05,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-24,2026-05-25,스위트,스위트,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-24&checkOutDate=2026-05-25,,True,False,4.7,736
2026-05-23 19:00:05,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-24,2026-05-25,패밀리,패밀리,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-24&checkOutDate=2026-05-25,,True,False,4.7,736
2026-05-23 19:00:08,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-27,2026-05-28,패밀리,패밀리,167000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-27&checkOutDate=2026-05-28,,True,False,4.7,736
2026-05-23 19:00:08,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-27,2026-05-28,스위트,스위트,195000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-27&checkOutDate=2026-05-28,,True,False,4.7,736
2026-05-23 19:00:08,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-27,2026-05-28,소노캄A,,262000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-27&checkOutDate=2026-05-28,,True,False,4.7,736
2026-05-23 19:00:08,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-27,2026-05-28,소노캄B,,298000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-27&checkOutDate=2026-05-28,,True,False,4.7,736
2026-05-23 19:00:11,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-29,2026-05-30,패밀리,패밀리,174840.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-29&checkOutDate=2026-05-30,,True,False,4.7,736
2026-05-23 19:00:11,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-29,2026-05-30,스위트,스위트,199020.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-29&checkOutDate=2026-05-30,,True,False,4.7,736
2026-05-23 19:00:11,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-29,2026-05-30,소노캄A,,268770.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-29&checkOutDate=2026-05-30,,True,False,4.7,736
2026-05-23 19:00:11,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-29,2026-05-30,소노캄B,,301320.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-29&checkOutDate=2026-05-30,,True,False,4.7,736
2026-05-23 19:00:13,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-30,2026-05-31,패밀리,패밀리,223200.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-30&checkOutDate=2026-05-31,,True,False,4.7,736
2026-05-23 19:00:13,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-30,2026-05-31,스위트,스위트,261330.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-30&checkOutDate=2026-05-31,,True,False,4.7,736
2026-05-23 19:00:13,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-30,2026-05-31,소노캄A,,305970.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-30&checkOutDate=2026-05-31,,True,False,4.7,736
2026-05-23 19:00:13,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-30,2026-05-31,소노캄B,,355260.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-30&checkOutDate=2026-05-31,,True,False,4.7,736
2026-05-23 19:00:16,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-06-03,2026-06-04,패밀리,패밀리,167000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-06-03&checkOutDate=2026-06-04,,True,False,4.7,736
2026-05-23 19:00:16,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-06-03,2026-06-04,스위트,스위트,195000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-06-03&checkOutDate=2026-06-04,,True,False,4.7,736
2026-05-23 19:00:16,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-06-03,2026-06-04,소노캄A,,262000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-06-03&checkOutDate=2026-06-04,,True,False,4.7,736
2026-05-23 19:00:16,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-06-03,2026-06-04,소노캄B,,298000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-06-03&checkOutDate=2026-06-04,,True,False,4.7,736
2026-05-23 19:00:18,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-06-05,2026-06-06,패밀리,패밀리,223200.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-06-05&checkOutDate=2026-06-06,,True,False,4.7,736
2026-05-23 19:00:18,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-06-05,2026-06-06,스위트,스위트,261330.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-06-05&checkOutDate=2026-06-06,,True,False,4.7,736
2026-05-23 19:00:18,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-06-05,2026-06-06,소노캄A,,346890.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-06-05&checkOutDate=2026-06-06,,True,False,4.7,736
2026-05-23 19:00:18,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-06-05,2026-06-06,소노캄B,,403620.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-06-05&checkOutDate=2026-06-06,,True,False,4.7,736
2026-05-23 19:00:21,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-06-06,2026-06-07,패밀리,패밀리,277140.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-06-06&checkOutDate=2026-06-07,,True,False,4.7,736
2026-05-23 19:00:21,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-06-06,2026-06-07,스위트,스위트,314340.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-06-06&checkOutDate=2026-06-07,,True,False,4.7,736
2026-05-23 19:00:21,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-06-06,2026-06-07,소노캄A,,346890.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-06-06&checkOutDate=2026-06-07,,True,False,4.7,736
2026-05-23 19:00:21,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-06-06,2026-06-07,소노캄B,,403620.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-06-06&checkOutDate=2026-06-07,,True,False,4.7,736
2026-05-23 19:00:23,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-06-10,2026-06-11,패밀리,패밀리,167000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-06-10&checkOutDate=2026-06-11,,True,False,4.7,736
2026-05-23 19:00:23,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-06-10,2026-06-11,스위트,스위트,195000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-06-10&checkOutDate=2026-06-11,,True,False,4.7,736
2026-05-23 19:00:23,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-06-10,2026-06-11,소노캄A,,262000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-06-10&checkOutDate=2026-06-11,,True,False,4.7,736
2026-05-23 19:00:23,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-06-10,2026-06-11,소노캄B,,298000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-06-10&checkOutDate=2026-06-11,,True,False,4.7,736
2026-05-23 19:00:26,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-06-12,2026-06-13,패밀리,패밀리,174840.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-06-12&checkOutDate=2026-06-13,,True,False,4.7,736
2026-05-23 19:00:26,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-06-12,2026-06-13,스위트,스위트,199020.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-06-12&checkOutDate=2026-06-13,,True,False,4.7,736
2026-05-23 19:00:26,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-06-12,2026-06-13,소노캄A,,268770.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-06-12&checkOutDate=2026-06-13,,True,False,4.7,736
2026-05-23 19:00:26,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-06-12,2026-06-13,소노캄B,,301320.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-06-12&checkOutDate=2026-06-13,,True,False,4.7,736
2026-05-23 19:00:28,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-06-13,2026-06-14,패밀리,패밀리,223200.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-06-13&checkOutDate=2026-06-14,,True,False,4.7,736
