수집일시,소노사업장,사업장ID,경쟁사명,OTA,체크인,체크아웃,객실유형,판매가(원),통화,판매상태,URL,오류,is_own,is_promo,별점(10점),리뷰수
2026-04-16 06:24:30,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-22,2026-04-23,소노캄A,262000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-22&checkOutDate=2026-04-23,,True,False,4.7,731
2026-04-16 06:24:30,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-22,2026-04-23,소노캄B,298000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-22&checkOutDate=2026-04-23,,True,False,4.7,731
2026-04-16 06:24:32,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-23,2026-04-24,패밀리,179000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-23&checkOutDate=2026-04-24,,True,False,4.7,731
2026-04-16 06:24:32,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-23,2026-04-24,스위트,206000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-23&checkOutDate=2026-04-24,,True,False,4.7,731
2026-04-16 06:24:32,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-23,2026-04-24,소노캄A,262000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-23&checkOutDate=2026-04-24,,True,False,4.7,731
2026-04-16 06:24:32,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-23,2026-04-24,소노캄B,298000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-23&checkOutDate=2026-04-24,,True,False,4.7,731
2026-04-16 06:24:34,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-24,2026-04-25,패밀리,203000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-24&checkOutDate=2026-04-25,,True,False,4.7,731
2026-04-16 06:24:34,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-24,2026-04-25,스위트,230000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-24&checkOutDate=2026-04-25,,True,False,4.7,731
2026-04-16 06:24:34,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-24,2026-04-25,소노캄A,289000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-24&checkOutDate=2026-04-25,,True,False,4.7,731
2026-04-16 06:24:34,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-24,2026-04-25,소노캄B,324000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-24&checkOutDate=2026-04-25,,True,False,4.7,731
2026-04-16 06:24:36,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-25,2026-04-26,패밀리,240000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-25&checkOutDate=2026-04-26,,True,False,4.7,731
2026-04-16 06:24:36,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-25,2026-04-26,스위트,281000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-25&checkOutDate=2026-04-26,,True,False,4.7,731
2026-04-16 06:24:36,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-25,2026-04-26,소노캄A,329000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-25&checkOutDate=2026-04-26,,True,False,4.7,731
2026-04-16 06:24:36,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-25,2026-04-26,소노캄B,382000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-25&checkOutDate=2026-04-26,,True,False,4.7,731
2026-04-16 06:24:39,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-26,2026-04-27,패밀리,179000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-26&checkOutDate=2026-04-27,,True,False,4.7,731
2026-04-16 06:24:39,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-26,2026-04-27,스위트,206000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-26&checkOutDate=2026-04-27,,True,False,4.7,731
2026-04-16 06:24:39,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-26,2026-04-27,소노캄A,262000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-26&checkOutDate=2026-04-27,,True,False,4.7,731
2026-04-16 06:24:39,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-26,2026-04-27,소노캄B,298000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-26&checkOutDate=2026-04-27,,True,False,4.7,731
2026-04-16 06:24:41,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-27,2026-04-28,패밀리,179000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-27&checkOutDate=2026-04-28,,True,False,4.7,731
2026-04-16 06:24:41,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-27,2026-04-28,스위트,206000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-27&checkOutDate=2026-04-28,,True,False,4.7,731
2026-04-16 06:24:41,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-27,2026-04-28,소노캄A,262000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-27&checkOutDate=2026-04-28,,True,False,4.7,731
2026-04-16 06:24:41,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-27,2026-04-28,소노캄B,298000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-27&checkOutDate=2026-04-28,,True,False,4.7,731
2026-04-16 06:24:43,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-28,2026-04-29,패밀리,179000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-28&checkOutDate=2026-04-29,,True,False,4.7,731
2026-04-16 06:24:43,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-28,2026-04-29,스위트,206000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-28&checkOutDate=2026-04-29,,True,False,4.7,731
2026-04-16 06:24:43,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-28,2026-04-29,소노캄A,262000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-28&checkOutDate=2026-04-29,,True,False,4.7,731
2026-04-16 06:24:43,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-28,2026-04-29,소노캄B,298000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-28&checkOutDate=2026-04-29,,True,False,4.7,731
2026-04-16 06:24:46,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-29,2026-04-30,패밀리,179000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-29&checkOutDate=2026-04-30,,True,False,4.7,731
2026-04-16 06:24:46,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-29,2026-04-30,스위트,206000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-29&checkOutDate=2026-04-30,,True,False,4.7,731
2026-04-16 06:24:46,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-29,2026-04-30,소노캄A,262000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-29&checkOutDate=2026-04-30,,True,False,4.7,731
2026-04-16 06:24:46,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-29,2026-04-30,소노캄B,298000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-29&checkOutDate=2026-04-30,,True,False,4.7,731
2026-04-16 06:24:48,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-30,2026-05-01,패밀리,179000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-30&checkOutDate=2026-05-01,,True,False,4.7,731
2026-04-16 06:24:48,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-30,2026-05-01,소노캄A,262000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-30&checkOutDate=2026-05-01,,True,False,4.7,731
2026-04-16 06:24:48,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-30,2026-05-01,소노캄B,298000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-30&checkOutDate=2026-05-01,,True,False,4.7,731
2026-04-16 06:24:48,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-30,2026-05-01,스위트,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-30&checkOutDate=2026-05-01,,True,False,4.7,731
2026-04-16 06:24:50,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-01,2026-05-02,소노캄B,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-01&checkOutDate=2026-05-02,,True,False,4.7,731
2026-04-16 06:24:50,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-01,2026-05-02,소노캄A,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-01&checkOutDate=2026-05-02,,True,False,4.7,731
2026-04-16 06:24:50,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-01,2026-05-02,스위트,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-01&checkOutDate=2026-05-02,,True,False,4.7,731
2026-04-16 06:24:50,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-01,2026-05-02,패밀리,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-01&checkOutDate=2026-05-02,,True,False,4.7,731
2026-04-16 06:24:52,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-02,2026-05-03,소노캄B,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-02&checkOutDate=2026-05-03,,True,False,4.7,731
2026-04-16 06:24:52,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-02,2026-05-03,소노캄A,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-02&checkOutDate=2026-05-03,,True,False,4.7,731
2026-04-16 06:24:52,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-02,2026-05-03,스위트,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-02&checkOutDate=2026-05-03,,True,False,4.7,731
2026-04-16 06:24:52,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-02,2026-05-03,패밀리,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-02&checkOutDate=2026-05-03,,True,False,4.7,731
2026-04-16 06:24:55,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-03,2026-05-04,스위트,338000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-03&checkOutDate=2026-05-04,,True,False,4.7,731
2026-04-16 06:24:55,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-03,2026-05-04,소노캄A,373000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-03&checkOutDate=2026-05-04,,True,False,4.7,731
2026-04-16 06:24:55,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-03,2026-05-04,소노캄B,434000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-03&checkOutDate=2026-05-04,,True,False,4.7,731
2026-04-16 06:24:55,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-03,2026-05-04,패밀리,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-03&checkOutDate=2026-05-04,,True,False,4.7,731
2026-04-16 06:24:57,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-04,2026-05-05,패밀리,298000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-04&checkOutDate=2026-05-05,,True,False,4.7,731
2026-04-16 06:24:57,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-04,2026-05-05,소노캄A,373000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-04&checkOutDate=2026-05-05,,True,False,4.7,731
2026-04-16 06:24:57,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-04,2026-05-05,소노캄B,434000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-04&checkOutDate=2026-05-05,,True,False,4.7,731
2026-04-16 06:24:57,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-04,2026-05-05,스위트,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-04&checkOutDate=2026-05-05,,True,False,4.7,731
2026-04-16 06:24:59,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-05,2026-05-06,패밀리,167000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-05&checkOutDate=2026-05-06,,True,False,4.7,731
2026-04-16 06:24:59,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-05,2026-05-06,스위트,195000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-05&checkOutDate=2026-05-06,,True,False,4.7,731
2026-04-16 06:24:59,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-05,2026-05-06,소노캄A,262000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-05&checkOutDate=2026-05-06,,True,False,4.7,731
2026-04-16 06:24:59,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-05,2026-05-06,소노캄B,298000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-05&checkOutDate=2026-05-06,,True,False,4.7,731
2026-04-16 06:25:01,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-06,2026-05-07,패밀리,167000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-06&checkOutDate=2026-05-07,,True,False,4.7,731
2026-04-16 06:25:01,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-06,2026-05-07,스위트,195000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-06&checkOutDate=2026-05-07,,True,False,4.7,731
