수집일시,소노사업장,사업장ID,경쟁사명,OTA,체크인,체크아웃,객실유형,객실카테고리,판매가(원),통화,판매상태,URL,오류,is_own,is_promo,별점(10점),리뷰수
2026-05-02 19:00:04,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-06,2026-05-07,패밀리,패밀리,167000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-06&checkOutDate=2026-05-07,,True,False,4.7,731
2026-05-02 19:00:04,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-06,2026-05-07,스위트,스위트,195000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-06&checkOutDate=2026-05-07,,True,False,4.7,731
2026-05-02 19:00:04,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-06,2026-05-07,소노캄A,,262000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-06&checkOutDate=2026-05-07,,True,False,4.7,731
2026-05-02 19:00:04,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-06,2026-05-07,소노캄B,,298000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-06&checkOutDate=2026-05-07,,True,False,4.7,731
2026-05-02 19:00:06,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-08,2026-05-09,패밀리,패밀리,185000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-08&checkOutDate=2026-05-09,,True,False,4.7,731
2026-05-02 19:00:06,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-08,2026-05-09,스위트,스위트,211000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-08&checkOutDate=2026-05-09,,True,False,4.7,731
2026-05-02 19:00:06,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-08,2026-05-09,소노캄A,,286000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-08&checkOutDate=2026-05-09,,True,False,4.7,731
2026-05-02 19:00:06,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-08,2026-05-09,소노캄B,,321000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-08&checkOutDate=2026-05-09,,True,False,4.7,731
2026-05-02 19:00:09,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-09,2026-05-10,패밀리,패밀리,237000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-09&checkOutDate=2026-05-10,,True,False,4.7,731
2026-05-02 19:00:09,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-09,2026-05-10,스위트,스위트,278000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-09&checkOutDate=2026-05-10,,True,False,4.7,731
2026-05-02 19:00:09,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-09,2026-05-10,소노캄A,,326000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-09&checkOutDate=2026-05-10,,True,False,4.7,731
2026-05-02 19:00:09,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-09,2026-05-10,소노캄B,,379000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-09&checkOutDate=2026-05-10,,True,False,4.7,731
2026-05-02 19:00:11,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-13,2026-05-14,패밀리,패밀리,167000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-13&checkOutDate=2026-05-14,,True,False,4.7,731
2026-05-02 19:00:11,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-13,2026-05-14,스위트,스위트,195000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-13&checkOutDate=2026-05-14,,True,False,4.7,731
2026-05-02 19:00:11,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-13,2026-05-14,소노캄A,,262000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-13&checkOutDate=2026-05-14,,True,False,4.7,731
2026-05-02 19:00:11,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-13,2026-05-14,소노캄B,,298000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-13&checkOutDate=2026-05-14,,True,False,4.7,731
