수집일시,소노사업장,사업장ID,경쟁사명,OTA,체크인,체크아웃,객실유형,객실카테고리,판매가(원),통화,판매상태,URL,오류,is_own,is_promo,별점(10점),리뷰수
2026-04-26 19:00:06,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-01,2026-05-02,소노캄B,,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-01&checkOutDate=2026-05-02,,True,False,4.7,731
2026-04-26 19:00:06,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-01,2026-05-02,소노캄A,,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-01&checkOutDate=2026-05-02,,True,False,4.7,731
2026-04-26 19:00:06,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-01,2026-05-02,스위트,스위트,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-01&checkOutDate=2026-05-02,,True,False,4.7,731
2026-04-26 19:00:06,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-01,2026-05-02,패밀리,패밀리,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-01&checkOutDate=2026-05-02,,True,False,4.7,731
2026-04-26 19:00:09,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-02,2026-05-03,소노캄A,,373000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-02&checkOutDate=2026-05-03,,True,False,4.7,731
2026-04-26 19:00:09,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-02,2026-05-03,소노캄B,,487000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-02&checkOutDate=2026-05-03,,True,False,4.7,731
2026-04-26 19:00:09,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-02,2026-05-03,스위트,스위트,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-02&checkOutDate=2026-05-03,,True,False,4.7,731
2026-04-26 19:00:09,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-02,2026-05-03,패밀리,패밀리,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-02&checkOutDate=2026-05-03,,True,False,4.7,731
2026-04-26 19:00:12,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-08,2026-05-09,패밀리,패밀리,188000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-08&checkOutDate=2026-05-09,,True,False,4.7,731
2026-04-26 19:00:12,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-08,2026-05-09,스위트,스위트,214000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-08&checkOutDate=2026-05-09,,True,False,4.7,731
