수집일시,소노사업장,사업장ID,경쟁사명,OTA,체크인,체크아웃,객실유형,객실카테고리,판매가(원),통화,판매상태,URL,오류,is_own,is_promo,별점(10점),리뷰수
2026-04-21 19:00:07,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-24,2026-04-25,패밀리,패밀리,203000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-24&checkOutDate=2026-04-25,,True,False,4.7,731
2026-04-21 19:00:07,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-24,2026-04-25,스위트,스위트,230000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-24&checkOutDate=2026-04-25,,True,False,4.7,731
2026-04-21 19:00:07,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-24,2026-04-25,소노캄A,,289000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-24&checkOutDate=2026-04-25,,True,False,4.7,731
2026-04-21 19:00:07,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-24,2026-04-25,소노캄B,,324000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-24&checkOutDate=2026-04-25,,True,False,4.7,731
2026-04-21 19:00:09,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-25,2026-04-26,패밀리,패밀리,240000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-25&checkOutDate=2026-04-26,,True,False,4.7,731
2026-04-21 19:00:09,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-25,2026-04-26,스위트,스위트,281000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-25&checkOutDate=2026-04-26,,True,False,4.7,731
2026-04-21 19:00:09,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-25,2026-04-26,소노캄A,,329000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-25&checkOutDate=2026-04-26,,True,False,4.7,731
2026-04-21 19:00:09,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-25,2026-04-26,소노캄B,,382000.0,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-25&checkOutDate=2026-04-26,,True,False,4.7,731
2026-04-21 19:00:11,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-01,2026-05-02,소노캄B,,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-01&checkOutDate=2026-05-02,,True,False,4.7,731
2026-04-21 19:00:11,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-01,2026-05-02,소노캄A,,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-01&checkOutDate=2026-05-02,,True,False,4.7,731
2026-04-21 19:00:11,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-01,2026-05-02,스위트,스위트,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-01&checkOutDate=2026-05-02,,True,False,4.7,731
2026-04-21 19:00:11,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-01,2026-05-02,패밀리,패밀리,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-01&checkOutDate=2026-05-02,,True,False,4.7,731
2026-04-21 19:00:14,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-02,2026-05-03,소노캄B,,,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-02&checkOutDate=2026-05-03,,True,False,4.7,731
