crawled_at,property_name,property_id,competitor_name,ota,checkin_date,checkout_date,room_type,price,currency,availability,url,error,is_own,is_promo
2026-04-15 20:43:43,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-21,2026-04-22,소노캄B,298000,KRW,available,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-21&checkOutDate=2026-04-22,,True,False
2026-04-15 20:43:45,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-16,2026-04-17,스탠다드 A,81360,KRW,available,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-16&checkOutDate=2026-04-17,,False,False
2026-04-15 20:43:45,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-16,2026-04-17,스탠다드 B,92660,KRW,available,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-16&checkOutDate=2026-04-17,,False,False
2026-04-15 20:43:45,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-16,2026-04-17,스탠다드 B 트리플,98310,KRW,available,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-16&checkOutDate=2026-04-17,,False,False
2026-04-15 20:43:45,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-16,2026-04-17,패밀리,119780,KRW,available,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-16&checkOutDate=2026-04-17,,False,False
2026-04-15 20:43:45,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-16,2026-04-17,스위트 B,141250,KRW,available,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-16&checkOutDate=2026-04-17,,False,False
2026-04-15 20:43:45,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-16,2026-04-17,럭셔리 B,164980,KRW,available,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-16&checkOutDate=2026-04-17,,False,False
2026-04-15 20:43:47,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-17,2026-04-18,스탠다드 B,125430,KRW,available,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-17&checkOutDate=2026-04-18,,False,False
2026-04-15 20:43:47,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-17,2026-04-18,스탠다드 B 트리플,131080,KRW,available,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-17&checkOutDate=2026-04-18,,False,False
2026-04-15 20:43:47,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-17,2026-04-18,패밀리,161590,KRW,available,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-17&checkOutDate=2026-04-18,,False,False
2026-04-15 20:43:47,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-17,2026-04-18,스위트 B,190970,KRW,available,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-17&checkOutDate=2026-04-18,,False,False
2026-04-15 20:43:47,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-17,2026-04-18,럭셔리 B,222610,KRW,available,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-17&checkOutDate=2026-04-18,,False,False
2026-04-15 20:43:47,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-17,2026-04-18,스탠다드 A,0,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-17&checkOutDate=2026-04-18,,False,False
2026-04-15 20:43:48,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-18,2026-04-19,스탠다드 B 트리플,0,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-18&checkOutDate=2026-04-19,,False,False
2026-04-15 20:43:48,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-18,2026-04-19,럭셔리 B,0,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-18&checkOutDate=2026-04-19,,False,False
2026-04-15 20:43:48,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-18,2026-04-19,스위트 B,0,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-18&checkOutDate=2026-04-19,,False,False
2026-04-15 20:43:48,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-18,2026-04-19,패밀리,0,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-18&checkOutDate=2026-04-19,,False,False
2026-04-15 20:43:48,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-18,2026-04-19,스탠다드 B,0,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-18&checkOutDate=2026-04-19,,False,False
2026-04-15 20:43:48,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-18,2026-04-19,스탠다드 A,0,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-18&checkOutDate=2026-04-19,,False,False
2026-04-15 20:43:49,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-19,2026-04-20,스탠다드 B 트리플,0,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-19&checkOutDate=2026-04-20,,False,False
2026-04-15 20:43:49,소노캄 비발디파크,sonocam_vivaldi,웰리힐리파크,야놀자,2026-04-19,2026-04-20,럭셔리 B,0,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3016118?checkInDate=2026-04-19&checkOutDate=2026-04-20,,False,False
