수집일시,소노사업장,사업장ID,경쟁사명,OTA,체크인,체크아웃,객실유형,객실카테고리,판매가(원),통화,판매상태,URL,오류,is_own,is_promo,별점(10점),리뷰수
2026-04-23 19:11:08,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-24,2026-04-25,,,,KRW,unknown,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-24&checkOutDate=2026-04-25,"HTTPSConnectionPool(host='nol.yanolja.com', port=443): Max retries exceeded with url: /stay/domestic",True,False,0.0,0
2026-04-23 19:11:11,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-04-25,2026-04-26,,,,KRW,unknown,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-04-25&checkOutDate=2026-04-26,"HTTPSConnectionPool(host='nol.yanolja.com', port=443): Max retries exceeded with url: /stay/domestic",True,False,0.0,0
2026-04-23 19:28:28,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-01,2026-05-02,,,,KRW,unknown,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-01&checkOutDate=2026-05-02,"HTTPSConnectionPool(host='nol.yanolja.com', port=443): Max retries exceeded with url: /stay/domestic",True,False,0.0,0
2026-04-23 19:28:31,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-02,2026-05-03,,,,KRW,unknown,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-02&checkOutDate=2026-05-03,"HTTPSConnectionPool(host='nol.yanolja.com', port=443): Max retries exceeded with url: /stay/domestic",True,False,0.0,0
2026-04-23 19:28:33,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-08,2026-05-09,,,,KRW,unknown,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-08&checkOutDate=2026-05-09,"HTTPSConnectionPool(host='nol.yanolja.com', port=443): Max retries exceeded with url: /stay/domestic",True,False,0.0,0
2026-04-23 19:39:15,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-09,2026-05-10,,,,KRW,unknown,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-09&checkOutDate=2026-05-10,"HTTPSConnectionPool(host='nol.yanolja.com', port=443): Max retries exceeded with url: /stay/domestic",True,False,0.0,0
2026-04-23 19:39:17,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-15,2026-05-16,,,,KRW,unknown,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-15&checkOutDate=2026-05-16,"HTTPSConnectionPool(host='nol.yanolja.com', port=443): Max retries exceeded with url: /stay/domestic",True,False,0.0,0
2026-04-23 19:39:19,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-16,2026-05-17,,,,KRW,unknown,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-16&checkOutDate=2026-05-17,"HTTPSConnectionPool(host='nol.yanolja.com', port=443): Max retries exceeded with url: /stay/domestic",True,False,0.0,0
2026-04-23 19:55:03,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-22,2026-05-23,,,,KRW,unknown,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-22&checkOutDate=2026-05-23,"HTTPSConnectionPool(host='nol.yanolja.com', port=443): Max retries exceeded with url: /stay/domestic",True,False,0.0,0
2026-04-23 19:55:05,소노캄 비발디파크,sonocam_vivaldi,소노캄 비발디파크,야놀자,2026-05-23,2026-05-24,,,,KRW,unknown,https://nol.yanolja.com/stay/domestic/3013069?checkInDate=2026-05-23&checkOutDate=2026-05-24,"HTTPSConnectionPool(host='nol.yanolja.com', port=443): Max retries exceeded with url: /stay/domestic",True,False,0.0,0
