property_name,competitor_name,ota,room_category,checkin_date,2026-04-17,2026-04-18,2026-04-19,2026-04-20,2026-04-21,2026-04-22,2026-04-23,2026-04-24,2026-04-25,2026-04-26,2026-04-27,2026-04-28,2026-04-29
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Agoda,디럭스,2026-05-29,,,,,,,,,,,,,180726.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Agoda,스위트,2026-04-24,,275668.0,275668.0,275601.0,275601.0,275601.0,275601.0,275601.0,275601.0,275601.0,275601.0,275601.0,275601.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Agoda,스위트,2026-04-29,,,,,,,,,,,,209255.0,209255.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Agoda,스위트,2026-05-06,,,,,,,,,,,,209400.0,209220.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Agoda,스위트,2026-05-08,,275732.0,275732.0,275648.0,275648.0,275648.0,275648.0,275648.0,275648.0,275648.0,275648.0,275648.0,275648.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Agoda,스위트,2026-05-09,,304256.0,304256.0,304163.0,304163.0,304163.0,304163.0,304163.0,304163.0,304163.0,304163.0,304163.0,304163.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Agoda,스위트,2026-05-13,,,,,,,,,,,,209400.0,209271.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Agoda,스위트,2026-05-15,,256716.0,256716.0,256638.0,256638.0,256638.0,256638.0,256638.0,256638.0,256638.0,256638.0,256638.0,256638.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Agoda,스위트,2026-05-16,,256716.0,256716.0,256638.0,256638.0,256638.0,256638.0,256638.0,256638.0,256638.0,256638.0,256638.0,256638.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Agoda,스위트,2026-05-20,,,,,,,,,,,,209420.0,209286.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Agoda,스위트,2026-05-22,,,,,,427851.0,427851.0,427851.0,427851.0,427851.0,427851.0,427851.0,427851.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Agoda,스위트,2026-05-27,,,,,,,,,,,,209420.0,209286.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/Agoda,스위트,2026-05-29,,,,,,,,,,,,,257140.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,디럭스,2026-04-24,,,,227000.0,225000.0,223000.0,223000.0,223000.0,223000.0,223000.0,223000.0,223000.0,223000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,디럭스,2026-04-25,,,,312000.0,312000.0,312000.0,312000.0,312000.0,312000.0,312000.0,312000.0,312000.0,312000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,디럭스,2026-04-29,,,,,,,,,,,,177000.0,177000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,디럭스,2026-05-06,,,,,,,,,,,,171000.0,171000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,디럭스,2026-05-08,,229000.0,229000.0,227000.0,225000.0,223000.0,223000.0,223000.0,223000.0,223000.0,223000.0,223000.0,223000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,디럭스,2026-05-09,,293000.0,293000.0,290000.0,288000.0,286000.0,286000.0,286000.0,286000.0,286000.0,286000.0,286000.0,286000.0
르네블루 바이 쏠비치,르네블루 바이 쏠비치,네이버호텔/HotelPass,디럭스,2026-05-13,,,,,,,,,,,,171000.0,171000.0
